UNIDAD,1,A dezena e a reta numérica
LECCION,1.1,Leitura de números de 0 a 5
,OC-ES-001_M1-NyO-1a,Lê os números de 0 a 5,Números de 0 a 5
LECCION,1.2,Escrita e ordenação de números de 0 a 5
,OC-ES-001_M1-NyO-1b,Escreve os números de 0 a 5,Números de 0 a 5
,OC-ES-001_M1-NyO-1c,Ordena os números 0 a 5,Números de 0 a 5
LECCION,1.3,Números de 6 a 9
,OC-ES-001_M1-NyO-2a,Lê os números de 6 a 9,Números de 6 a 9
,OC-ES-001_M1-NyO-2b,Escreve os números de 6 a 9,Números de 6 a 9
,OC-ES-001_M1-NyO-2c,Ordena os números de 6 a 9,Números de 6 a 9
LECCION,1.4,A dezena
,OC-ES-001_M1-NyO-3a,Lê e escreve 10,O 10 e a dezena
LECCION,1.5,A reta numérica
,OC-ES-001_M1-NyO-10a,Utiliza a reta numérica como suporte para a compreensão da ordem dos números,A reta numérica
LECCION,1.6,Números ordinais
,OC-ES-001_M1-NyO-9a,Utiliza os números ordinais do 1º ao 10º em contextos reais,Números ordinais do 1º ao 10º

UNIDAD,2,A comparação
LECCION,2.1,Números de 11 a 19
,OC-ES-001_M1-NyO-4a,Lê os números de 11 a 19,Números de 11 a 19
,OC-ES-001_M1-NyO-4b,Escreve os números de 11 a 19,Números de 11 a 19
,OC-ES-001_M1-NyO-4c,Ordena os números de 11 a 19,Números de 11 a 19
LECCION,2.2,Composição e decomposição de números de 11 a 19
,OC-ES-001_M1-NyO-28a,Compõe e decompõe números naturais de 11 a 19,Composição e decomposição de números naturais do 11 ao 19
LECCION,2.3,A contagem até 20
,OC-ES-001_M1-NyO-36a,Conta coleções com até 20 itens,Contagem de coleções com até 20 objetos
LECCION,2.4,Números de 20 a 29
,OC-ES-001_M1-NyO-5a,Lê os números de 20 a 29,Números de 20 a 29
,OC-ES-001_M1-NyO-5b,Escreve os números 20 a 29,Números de 20 a 29
,OC-ES-001_M1-NyO-5c,Ordena os números de 20 a 29,Números de 20 a 29
LECCION,2.5,Composição e decomposição de números de 20 a 29
,OC-ES-001_M1-NyO-29a,Compõe e decompõe números naturais de 20 a 29,Composição e decomposição de números naturais de 20 a 29
LECCION,2.6,A comparação
,OC-ES-001_M1-NyO-37a,"Compara duas coleções (com cerca de 20 itens) para indicar qual ""tem mais"", ""tem menos"" ou ""tem a mesma quantidade""","Comparação de coleções (com cerca de 20 itens) para indicar qual ""tem mais"", ""tem menos"" ou ""tem a mesma quantidade"""

UNIDAD,3,O arredondamento
LECCION,3.1,Números de 30 a 49
,OC-ES-001_M1-NyO-6a,Lê os números de 30 a 49,Números de 30 a 49
,OC-ES-001_M1-NyO-6b,Escreve os números de 30 a 49,Números de 30 a 49
,OC-ES-001_M1-NyO-6c,Ordena os números de 30 a 49,Números de 30 a 49
LECCION,3.2,Composição e decomposição de números de 30 a 49
,OC-ES-001_M1-NyO-30a,Compõe e decompõe números naturais de 30 a 49,Composição e decomposição de números naturais de 30 a 49
LECCION,3.3,Números de 50 a 79
,OC-ES-001_M1-NyO-7a,Lê os números de 50 a 79,Números de 50 a 79
,OC-ES-001_M1-NyO-7b,Escreve os números de 50 a 79,Números de 50 a 79
,OC-ES-001_M1-NyO-7c,Ordena os números de 50 a 79,Números de 50 a 79
LECCION,3.4,Composição e decomposição de números de 50 a 79
